"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","532","should login with locked_out_user","UC-2 Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","453","should login with standard_user","UC-2 Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","283","should login with ","UC-2 Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","464","should login with testtest","UC-2 Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","274","should login with standard_user","UC-2 Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","469","should login with ","UC-2 Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","3175","should complete checkout successfully","UC-1 Checkout Flow","2026-03-26","passed","2026-03-26","","","",""
"","646","should login with testtest","UC-2 Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
"","2951","should complete checkout successfully","UC-1 Checkout Flow","2026-03-26","passed","2026-03-26","","","",""
"","436","should login with locked_out_user","UC-2 Data Driven Login","2026-03-26","passed","2026-03-26","","","",""
